previous_participation,duty_outreach,non_specialists
No,1,1
No,1,1
No,2,1
No,2,1
No,2,1
No,2,1
No,2,1
No,2,1
No,3,1
No,3,1
No,3,1
No,3,2
No,3,2
No,3,2
No,3,2
No,3,2
No,4,2
No,4,2
No,4,2
No,4,2
No,4,2
No,4,2
No,4,2
No,4,2
No,4,3
No,4,3
No,4,3
No,4,3
No,4,3
No,4,3
No,4,3
No,4,3
No,4,3
No,4,3
No,5,3
No,5,3
No,5,3
No,5,4
No,5,4
No,5,4
No,5,5
No,5,5
No,5,5
Yes,1,1
Yes,1,1
Yes,1,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,2,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,1
Yes,3,2
Yes,3,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,4,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,2
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,3
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,4
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,5
Yes,5,
Yes,5,
